Formal label,Short label,Function/type,Hierarchical level,Relation: contains,Short explanation,Open Music Theory Link,Theoretical provenance
before-the-beginning,btb,,,,framing function; precedes the structural limits of main material,,
beginning,beg,,,,,,
bridge,br,,,,transition module,https://elliotthauser.com/openmusictheory/popRockForm.html,
cadenza,cdza,,,,solo section of a concerto,,Caplin
chorus,chr,,,,"independent, higher density than verse ",https://elliotthauser.com/openmusictheory/popRockForm.html,
crux,cr,,,,,,Hepokoski and Darcy
display episode,depi ????,,,,,,
dissolution,diss,,,,,,
eingang,eg,,,concerto form,,,
episode,epi,,,,,,
expansion,expa,,,,augmenting material; during establishment of function,,
,,,,,,,
hauptperiode,hp,,,,,,
hauptsatz,hs,,,,,,Koch
interpolation,ip,,,,symmetrical deviation; inserting musical material not belonging to either sides,,
liquidation,liq,,,,gradually replacing characteristics with other itmes ,https://elliotthauser.com/openmusictheory/themeFunctions.html,
middle,mid,,,,,,
post-chorus,ptchr,,,,module after the chorus and closes this specific cycle,https://elliotthauser.com/openmusictheory/popRockForm.html,
pre-chorus,prchr,,,,gain energy for chorus module,https://elliotthauser.com/openmusictheory/popRockForm.html,
pre-core,pc,,,,part of development section; prepares for core of development,,Caplin
repetition,rep,,,,literal or varied,,
satz,s,,,,,,Koch
schlusssatz,schl,,,,,,Koch
secondary idea,si,,,,,,
subject,sub,,,,,,
theme0,th0,,,,complete formal unit with a cadence at the end,,
third theme,3rd,,,,,,
variation,var,,,,,,
verse,ver,,,,"lyric variant, containing narrativ context to chorus ",https://elliotthauser.com/openmusictheory/popRockForm.html,
track,,,,,,,
